1.814292553787698381e+00,1.814292553787698381e+00,1.872096365185168754e+00,1.872096365185168754e+00,1.872096365185168754e+00,1.872096365185168754e+00,1.872096365185168754e+00,1.872096365185168754e+00,1.872096365185168754e+00,1.872096365185168754e+00
1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00
1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00
1.715200305677748283e+00,1.715200305677748283e+00,1.715200305677748283e+00,1.715200305677748283e+00,1.715200305677748283e+00,1.715200305677748283e+00,1.715200305677748283e+00,1.731715680362739596e+00,1.822550241130194149e+00,1.822550241130194149e+00
1.756488742390227342e+00,1.756488742390227342e+00,1.756488742390227342e+00,1.756488742390227342e+00,1.756488742390227342e+00,1.756488742390227342e+00,1.756488742390227342e+00,1.756488742390227342e+00,1.756488742390227342e+00,1.756488742390227342e+00
1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00,1.913384801897648479e+00
1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00
1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00,1.929900176582639792e+00
1.921642489240144025e+00,1.921642489240144025e+00,1.921642489240144025e+00,1.921642489240144025e+00,1.921642489240144025e+00,1.921642489240144025e+00,1.921642489240144025e+00,1.921642489240144025e+00,1.921642489240144025e+00,1.921642489240144025e+00
1.682169556307764990e+00,1.682169556307764990e+00,1.682169556307764990e+00,1.682169556307764990e+00,1.682169556307764990e+00,1.682169556307764990e+00,1.682169556307764990e+00,1.682169556307764990e+00,1.748231055047731797e+00,1.748231055047731797e+00
